cluster,script_url_etld,fp_script
034ab9d7-ad0b-46fc-99f5-eb16c8ddaa8e,autoscout24.de,true
034ab9d7-ad0b-46fc-99f5-eb16c8ddaa8e,autoscout24.nl,true
035906c9-5ed3-4c6d-b4e4-26c4d607e60d,dnb.com,true
035d0935-e627-4b24-bfbe-dc1956f5a936,att.com,true
035d92bc-adf7-4255-ae0b-0bc6ea90af05,suruga-ya.jp,true
03697d56-8d3f-439a-a547-dfb99ec5a901,porvenir.com.co,true
03697d56-8d3f-439a-a547-dfb99ec5a901,coe.int,true
03714fc9-5b44-4701-9362-0f387c7a2e13,boots.com,true
037585b5-1bff-4ec4-9f3f-031e189e0d44,smu.edu.sg,true
037585b5-1bff-4ec4-9f3f-031e189e0d44,societegenerale.com,true
0381cf81-50cd-4f8f-9203-9190a3b2a023,msu.edu,true
0386a643-4751-44ab-abad-c281ef635ace,weather.com,true
038c1f55-f5b7-45cf-af51-82b47a3737a3,att.com,true
039a06ef-5c70-4cc1-961e-502523a4208c,dkb.de,true
03a75564-637c-4337-ba5b-e773918e9894,gapfactory.com,true
03abecb3-7888-4da8-a7d7-ef6a5bcb41a0,capitalone.com,true
03adbeaf-2a00-4220-8824-5f40185ec37b,europa.eu,true
03ae9766-9447-4366-a0b2-98817829cfa0,novelbin.com,true
03be2d59-7425-4fab-893e-e870451d58fc,goniec.pl,true
03c45d3f-8a7c-43cb-9730-cbb199329a99,kommersant.ru,true
03c46216-7f80-42d1-bc8e-26fe8dd7c78d,8891.com.tw,true
03c4fb34-e66a-420b-850a-a6cb16ea693a,moneylion.com,true
03c6646f-5e23-4022-914b-25c6d56d9b7d,kw.com,true
03cadcba-758d-43bd-91de-b7764bc678c6,westlaw.com,true
03cdf0d1-c2e3-42fe-94d0-44a3391b0bc0,stuff.co.nz,true
03cdf0d1-c2e3-42fe-94d0-44a3391b0bc0,theglobeandmail.com,true
03d594e2-630b-48b9-9f4e-165c2388d44e,euractiv.com,true
03d5e9a7-d9dd-446e-94a9-b3c26d84cf67,rehouse.co.jp,true
03e0b073-edc0-4332-a16c-999719542648,scmp.com,true
03ea9350-1a9c-4c13-bbfe-0c118e03c2e4,amd.com,true
03ec70e4-a487-4070-a373-c501fdf2bd6e,sheypoor.com,true
03ed154d-ced6-42ba-934f-c1b9c3049377,lmt.lv,true
03f45cb9-147b-4708-87e9-2a2b90acdf1c,oreilly.com,true
03f88df0-f242-48ba-87d8-8e67ddf899f9,inps.it,true
03f97985-b43c-481d-ab0c-3ba7b0c302ef,ticketmaster.com,true
03fc1550-c6f9-4eee-b724-0265d58c5f9f,lcwaikiki.ro,true
04112633-e709-4a59-8665-839a46af44bc,box.com,true
041538f3-afa0-4e15-b4e8-05a6dfe7298c,beehiiv.com,true
0415e357-5eea-4609-a59c-150c7665f04d,bluehost.com,true
0417a97c-07e0-4fc0-8b21-65a467311ef5,veed.io,true
0421844b-bf0c-48a6-b109-30d073f666f1,kugou.com,true
04254329-bcd5-40d9-9fed-6a1ffffd2497,metlife.co.jp,true
042994fa-b97e-4113-963e-e58ebbf7a3da,interstatebatteries.com,true
042a1108-e923-4935-99a8-dcb95f589956,nerdwallet.com,true
042e4308-8aff-4c2c-a504-33d975f970de,cityexperiences.com,true
042e79ef-560c-4fb7-b301-61d05b5657cf,gap.com,true
042e79ef-560c-4fb7-b301-61d05b5657cf,gapcanada.ca,true
042e79ef-560c-4fb7-b301-61d05b5657cf,gapfactory.com,true
04454c32-8ece-4ead-8a02-79b8ae9904fc,etudiant.gouv.fr,true
044687a5-16ff-420f-ac86-8685177ed9bf,gap.com,true
04568982-7697-4093-8a64-86ebadce83fd,partner.co.il,true
045c08f7-f0a8-49df-9fe7-4345fad000a5,forrester.com,true
046956eb-e93f-4311-9ff9-bcb1b2595fd3,cricketwireless.com,true
04743c73-d8e0-42cf-857a-05383045bbc0,stirileprotv.ro,true
04743c73-d8e0-42cf-857a-05383045bbc0,webtoons.com,true
0475717b-181a-4e4e-a15d-b24a96f29303,nate.com,true
047cf6fd-aa00-4bbf-aaf9-1b32c6465c23,vanguard.com,true
048433a6-f26a-4236-8069-a08f2b61a64c,streamable.com,true
04861418-8272-4c73-b97b-6f6cfd6bb3cc,cigna.com,true
0491574a-4dcc-4058-b859-58ce6e8304a9,unibet.co.uk,true
04985116-c7c8-4547-8b4f-24e9372069e4,tabtrader.com,true
049f2d25-d37b-46ed-861b-ba06b73d887e,toyota.jp,true
049f70cf-613b-40a2-8b54-a7a02857e408,akusoli.com,true
049f70cf-613b-40a2-8b54-a7a02857e408,enence.com,true
04a88f5e-931f-4041-958f-e925f7fe4408,plex.tv,true
04aaee02-df3f-4728-9d44-65156f8295f4,registraduria.gov.co,true
04b270d5-a005-406f-ba67-e3c48167dbc8,thehill.com,true
04b5209c-3211-4917-ba52-2172512bd410,cecile.co.jp,true
04b9b6a2-d936-499f-9630-6f4fa04261ac,sohu.com,true
04ba432a-c765-4b09-aebe-6b44b598a1a4,apolitical.co,true
04bd3012-5454-49fc-b5cd-9f51ee777863,wikipedia.org,true
04bd3c0f-e4ab-4183-aa18-79a69b792a53,moisport.ru,true
04bde041-b6bf-4a71-9d07-f9663877647d,scientificamerican.com,true
04bf8c69-3762-4b40-9aa9-8e9b256ec893,forbes.com,true
04c19ffa-1d2c-43d4-88c0-6c6da2ae7def,starmakerstudios.com,true
04c5cef3-82d2-4337-90fc-2418bd55b3da,jacadi.fr,true
04db268b-08ea-4aac-ab1a-e84239fef974,mozilla.org,true
04f14094-6ce3-4efb-b767-2c0cc45fa908,correiobraziliense.com.br,true
05004cb9-ce2d-4f85-b710-0baee94018ea,justhost.ru,true
050322ed-41d1-4d0a-9cb8-5cad586f0c0d,vanguard.com,true
050977d2-7b1f-4cf4-ad8b-11837bce4674,wp.pl,true
050977d2-7b1f-4cf4-ad8b-11837bce4674,o2.pl,true
0513a470-3c06-4bc0-9ea2-30d7ad3a9a70,dcsdk12.org,true
0515a7b7-cc3b-40f4-8919-4f2275ea1a27,telefonica.com,true
051a15ec-77e9-4b5c-95f4-0e8bfcb47fbd,walmart.com,true
051d0d9c-a95c-4c3c-894d-4ad64ce4e71f,cafe24.com,true
05220083-5eb6-431d-9ad5-5f5be46e5c0c,brain.net.pk,true
052beb25-2fd1-4480-a8b6-cd063074e591,klook.com,true
05360ca0-43ff-4724-8a98-49587076d16d,threatdown.com,true
053ba31f-bee2-48e0-806c-ea1648ab4146,daryo.uz,true
0540400a-e07a-4d06-a448-100d6377e6bd,brown.edu,true
054291e6-1f55-4030-9d14-eb8c72f38728,bdo.com.ph,true
05439901-7bb5-449a-a6f6-a7d7e4216e46,strava.com,true
