cluster,domain_0,value_0,share_0,domain_1,value_1,share_1,domain_2,value_2,share_2,domain_3,value_3,share_3,domain_4,value_4,share_4,domain_5,value_5,share_5,domain_6,value_6,share_6,domain_7,value_7,share_7,domain_8,value_8,share_8,domain_9,value_9,share_9,domain_10,value_10,share_10,domain_11,value_11,share_11,domain_12,value_12,share_12
1ed4baf6-a32b-41e4-afc4-bbfd9ec06cec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c7e09c9-c6db-454a-83b7-24d058b12507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87518979-6861-48c8-b011-1c85e7b31dd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eded96f8-5eb8-4972-8538-56000a50f0bb,apple,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10da4a8f-44ea-4bd0-9849-1be5c0ec1dc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550cccb5-5b1d-457b-8d25-d49ebec091e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8ba4ba0-3ce6-4643-bf52-94089d6c5b18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fe30305-1974-40d3-a97b-ba757962ad74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b950178-a658-4543-b9db-1c947ad1a906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7586ad64-f967-4b89-8579-8e5da6656262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7797f9c-ae31-417c-a29e-e4e8c46ddd8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8c6c2b3-cf5b-401d-a7b7-7d8acfce1abc,amplitude,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2df897f-8c42-4ffa-b460-fbaf8a8007a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ba57dbd-e61e-4bcd-91d7-e4e6b29d04e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779043dd-2796-48af-b118-3bf8f32727dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee4f6f67-814d-4a00-9b04-0520f0ba960c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782261d9-163a-494b-95a7-ed00daaf02e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
