cluster,script_url_etld,fp_script,category,organization
01b27a8c-222c-4c91-a7ab-15902c67c8e3,megapteka.ru,True,Unknown,Unknown
01b27a8c-222c-4c91-a7ab-15902c67c8e3,osasuna.es,True,Unknown,Unknown
01b3cedd-1f39-4155-b47e-c0503f6c673e,latoken.com,True,Unknown,Unknown
01b5b59a-3e3e-4952-86e2-cabad6337188,radiocomercial.pt,True,Unknown,Unknown
01b5b59a-3e3e-4952-86e2-cabad6337188,kolkataff.in,True,Unknown,Unknown
01b5b59a-3e3e-4952-86e2-cabad6337188,loyno.edu,True,Unknown,Unknown
01b5b59a-3e3e-4952-86e2-cabad6337188,worldometers.info,True,Unknown,Unknown
01b81187-7e10-46e8-8854-6906615fce3b,ntv.co.jp,True,Unknown,Unknown
01c0f076-edb0-4bce-ac8b-a13da25eda4a,verizon.com,True,Unknown,Unknown
01c63057-ddb1-41ea-8df0-8431e8120575,theknot.com,True,Unknown,Unknown
01c993f6-b4ba-46aa-8864-01e50d79fd89,psu.edu,True,Unknown,Unknown
01ccbdc2-115e-4f91-83f7-8e39bb095772,berkeley.edu,True,Unknown,Unknown
01cf5ba8-d83f-486d-b4c4-8a4e485b9f39,toyota.com,True,Unknown,Unknown
01d30ff4-5e25-4dce-9b33-cb0567c12318,cisco.com,True,Unknown,Unknown
01d5a471-7f6d-4678-8b56-c12f8a9b3f16,cscglobal.com,True,Unknown,Unknown
01df46c2-fb0f-4436-b9ea-e178d58bb483,crisp.chat,True,customer_interaction,crisp
01df6448-f0d0-4e2a-8298-8b452c969c8d,affirm.com,True,Unknown,Unknown
01fe8689-d2e4-4d6b-9b2e-c31de533e755,wikipedia.org,True,hosting,wikimedia_foundation
02025188-8b3f-43fb-92ab-43cbd84ed3dc,ruangguru.com,True,Unknown,Unknown
02077ab4-771b-41e2-a529-276cd48f1e94,faberlic.com,True,Unknown,Unknown
022c32a9-2b33-478f-ae45-8872f075fbd5,rs-online.com,True,Unknown,Unknown
022d2dd0-e3b1-45d5-a87d-fd603391ee10,dezeen.com,True,Unknown,Unknown
022e6f46-66b1-4b2d-8897-1b8f48a51f1d,pornhat.one,True,Unknown,Unknown
022e6f46-66b1-4b2d-8897-1b8f48a51f1d,pornhat.com,True,Unknown,Unknown
022e9c23-66c2-463a-91e3-1f3b86c05eb8,www.gov.pl,True,Unknown,Unknown
02358d2f-ae6c-4aad-87ff-15615014d24f,bangkokpost.com,True,Unknown,Unknown
0235ef83-5546-4d9d-bfd0-a44749af2359,bitget.com,True,Unknown,Unknown
0236bc73-c189-40e2-a9d3-b9e65aa00b90,jio.com,True,Unknown,Unknown
023d7297-9c60-4ae0-b833-7ad3bec8fea1,dhl.de,True,Unknown,Unknown
023f424f-e4a3-460e-8938-b4f2ee30c72f,diigo.com,True,Unknown,Unknown
024a222d-564b-4e25-b3f1-9e30ce59a391,leigod.com,True,Unknown,Unknown
024c2a00-1637-433a-a9a5-28118fe84595,strava.com,True,site_analytics,strava
0252562e-b136-42fe-b0df-8c25fce0ce83,cardgames.io,True,Unknown,Unknown
026a34ca-36e0-4ff2-b8a1-738c2c41b4ab,visitsaudi.com,True,Unknown,Unknown
026be5c2-debc-47e7-9964-fdcd08a5d4e2,mayoclinic.org,True,Unknown,Unknown
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,faz.net,True,Unknown,Unknown
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,liberation.fr,True,Unknown,Unknown
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,newsnow.co.uk,True,Unknown,Unknown
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,sky.com,True,Unknown,Unknown
