sqlite_browser_id,sqlite_visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp,site_id,in_cookiejar,site_rank,hold_id,visit_id,browser_id,category
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1689,deleted,overwrite,2026-06-17 13:56:33,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,deleted,no_restriction,,firefox-default,2025-05-13 13:56:33.679000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1690,added-or-changed,explicit,2026-06-17 13:56:33,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,deleted,no_restriction,,firefox-default,2025-05-13 13:56:33.680000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1691,deleted,overwrite,2026-06-17 13:56:33,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g1$t1747137393$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:33.680000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1692,added-or-changed,explicit,2026-06-17 13:56:33,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g1$t1747137393$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:33.680000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1693,deleted,overwrite,2026-06-17 13:56:33,0,0,0,.policies.google.com,0,_ga,/,GA1.1.1351695229.1747137379,no_restriction,,firefox-default,2025-05-13 13:56:33.680000,1,,3,,1__ga,windows,
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1694,added-or-changed,explicit,2026-06-17 13:56:33,0,0,0,.policies.google.com,0,_ga,/,GA1.1.1351695229.1747137379,no_restriction,,firefox-default,2025-05-13 13:56:33.680000,1,,3,,1__ga,windows,
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1704,deleted,overwrite,2026-06-17 13:56:38,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,deleted,no_restriction,,firefox-default,2025-05-13 13:56:38.856000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1705,added-or-changed,explicit,2026-06-17 13:56:38,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,deleted,no_restriction,,firefox-default,2025-05-13 13:56:38.856000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1706,deleted,overwrite,2026-06-17 13:56:38,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g1$t1747137398$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:38.856000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,5823145675265962,d8b11166-0cf1-4096-9f75-811003bb445c,1707,added-or-changed,explicit,2026-06-17 13:56:38,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g1$t1747137398$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:38.856000,1,,3,,1__ga_CVQP9NPQGY,windows,Performance
